index,name,lat,lon,context
13353,Pennsylvania,30.87324,-88.0475,"['slave', 'belonging', 'to', 'a', 'visitor', 'from', 'Cuba', 'had', 'just', 'been', 'abducted', 'and', 'set', 'free', ',', 'because', 'the', 'laws', 'of', 'Pennsylvania', 'made', 'freedom', 'the', 'right', 'of', 'any', 'negro', 'brought', 'into', 'the', 'state', ',', 'even', 'though', 'in', 'transit', 'only', 'to', 'another', 'portion']"
13407,South,-6.33333,39.5,"['persons', 'had', 'been', 'arrested', ',', 'and', 'the', 'newspapers', 'were', 'discussing', 'it', 'roundly', '.', '``', 'I', 'do', ""n't"", 'think', 'the', 'South', 'is', 'going', 'to', 'stand', 'for', 'this', 'thing', '.', 'It', ""'s"", 'making', 'trouble', 'in', 'our', 'business', ',', 'and', 'it', 'must', 'be']"
14059,South Third Street,-6.33333,39.5,"['unlike', 'that', 'of', 'Waterman', '&', 'Co.', ',', 'was', 'located', 'in', 'a', 'handsome', 'green-gray', 'stone', 'building', 'at', '66', 'South', 'Third', 'Street', ',', 'in', 'what', 'was', 'then', ',', 'and', 'for', 'a', 'number', 'of', 'years', 'afterward', ',', 'the', 'heart', 'of', 'the', 'financial', 'district']"
14107,Third National Bank,-33.57917,151.30833,"['and', 'repute', 'were', 'near', 'at', 'hand', '--', 'Drexel', '&', 'Co.', ',', 'Edward', 'Clark', '&', 'Co.', ',', 'the', 'Third', 'National', 'Bank', ',', 'the', 'First', 'National', 'Bank', ',', 'the', 'Stock', 'Exchange', ',', 'and', 'similar', 'institutions', '.', 'Almost', 'a', 'score', 'of', 'smaller', 'banks']"
14173,Philadelphia,39.95233,-75.16379,"['son', 'of', 'an', 'immigrant', 'who', 'had', 'flourished', 'and', 'done', 'well', 'in', 'that', 'conservative', 'city', '.', 'He', 'had', 'come', 'to', 'Philadelphia', 'to', 'interest', 'himself', 'in', 'the', 'speculative', 'life', 'there', '.', '``', 'Sure', ',', 'it', ""'s"", 'a', 'right', 'good', 'place', 'for', 'those']"
14300,Pennsylvania,30.87324,-88.0475,"['``', 'these', 'Pennsylvanians', 'never', 'pay', 'for', 'anything', 'they', 'can', 'issue', 'bonds', 'for', '.', ""''"", 'It', 'was', 'the', 'period', 'when', 'Pennsylvania', ""'s"", 'credit', ',', 'and', 'for', 'that', 'matter', 'Philadelphia', ""'s"", ',', 'was', 'very', 'bad', 'in', 'spite', 'of', 'its', 'great', 'wealth', '.']"
14308,Philadelphia,39.95233,-75.16379,"['can', 'issue', 'bonds', 'for', '.', ""''"", 'It', 'was', 'the', 'period', 'when', 'Pennsylvania', ""'s"", 'credit', ',', 'and', 'for', 'that', 'matter', 'Philadelphia', ""'s"", ',', 'was', 'very', 'bad', 'in', 'spite', 'of', 'its', 'great', 'wealth', '.', '``', 'If', ""there's"", 'ever', 'a', 'war', 'there', ""'ll""]"
14355,Pennsylvania,30.87324,-88.0475,"['notes', 'for', 'their', 'meals', '.', 'If', 'I', 'could', 'just', 'live', 'long', 'enough', 'I', 'could', 'get', 'rich', 'buyin', ""'"", 'up', 'Pennsylvania', 'notes', 'and', 'bonds', '.', 'I', 'think', 'they', ""'ll"", 'pay', 'some', 'time', ';', 'but', ',', 'my', 'God', ',', 'they', ""'re"", 'mortal']"
14667,United States,37.99066,-81.4265,"['that', 'he', 'knew', 'about', '--', 'would', 'be', 'paid', '.', 'What', 'was', 'more', ',', 'the', 'money', 'system', 'of', 'the', 'United', 'States', 'was', 'only', 'then', 'beginning', 'slowly', 'to', 'emerge', 'from', 'something', 'approximating', 'chaos', 'to', 'something', 'more', 'nearly', 'approaching', 'order', '.', 'The', 'United']"
14766,New York,30.03593,-90.02561,"['Still', ',', 'things', 'were', 'slowly', 'improving', ',', 'for', 'the', 'telegraph', 'had', 'facilitated', 'stock-market', 'quotations', ',', 'not', 'only', 'between', 'New', 'York', ',', 'Boston', ',', 'and', 'Philadelphia', ',', 'but', 'between', 'a', 'local', 'broker', ""'s"", 'office', 'in', 'Philadelphia', 'and', 'his', 'stock', 'exchange', '.']"
14768,Boston,42.35843,-71.05977,"['things', 'were', 'slowly', 'improving', ',', 'for', 'the', 'telegraph', 'had', 'facilitated', 'stock-market', 'quotations', ',', 'not', 'only', 'between', 'New', 'York', ',', 'Boston', ',', 'and', 'Philadelphia', ',', 'but', 'between', 'a', 'local', 'broker', ""'s"", 'office', 'in', 'Philadelphia', 'and', 'his', 'stock', 'exchange', '.', 'In', 'other']"
14771,Philadelphia,39.95233,-75.16379,"['improving', ',', 'for', 'the', 'telegraph', 'had', 'facilitated', 'stock-market', 'quotations', ',', 'not', 'only', 'between', 'New', 'York', ',', 'Boston', ',', 'and', 'Philadelphia', ',', 'but', 'between', 'a', 'local', 'broker', ""'s"", 'office', 'in', 'Philadelphia', 'and', 'his', 'stock', 'exchange', '.', 'In', 'other', 'words', ',', 'the']"
14781,Philadelphia,39.95233,-75.16379,"['not', 'only', 'between', 'New', 'York', ',', 'Boston', ',', 'and', 'Philadelphia', ',', 'but', 'between', 'a', 'local', 'broker', ""'s"", 'office', 'in', 'Philadelphia', 'and', 'his', 'stock', 'exchange', '.', 'In', 'other', 'words', ',', 'the', 'short', 'private', 'wire', 'had', 'been', 'introduced', '.', 'Communication', 'was', 'quicker']"
14816,South,-6.33333,39.5,"['introduced', '.', 'Communication', 'was', 'quicker', 'and', 'freer', ',', 'and', 'daily', 'grew', 'better', '.', 'Railroads', 'had', 'been', 'built', 'to', 'the', 'South', ',', 'East', ',', 'North', ',', 'and', 'West', '.', 'There', 'was', 'as', 'yet', 'no', 'stock-ticker', 'and', 'no', 'telephone', ',', 'and', 'the']"
14818,East,65,-15,"['Communication', 'was', 'quicker', 'and', 'freer', ',', 'and', 'daily', 'grew', 'better', '.', 'Railroads', 'had', 'been', 'built', 'to', 'the', 'South', ',', 'East', ',', 'North', ',', 'and', 'West', '.', 'There', 'was', 'as', 'yet', 'no', 'stock-ticker', 'and', 'no', 'telephone', ',', 'and', 'the', 'clearing-house', 'had']"
14823,West,31.80238,-97.09167,"[',', 'and', 'daily', 'grew', 'better', '.', 'Railroads', 'had', 'been', 'built', 'to', 'the', 'South', ',', 'East', ',', 'North', ',', 'and', 'West', '.', 'There', 'was', 'as', 'yet', 'no', 'stock-ticker', 'and', 'no', 'telephone', ',', 'and', 'the', 'clearing-house', 'had', 'only', 'recently', 'been', 'thought', 'of']"
14846,New York,30.03593,-90.02561,"['as', 'yet', 'no', 'stock-ticker', 'and', 'no', 'telephone', ',', 'and', 'the', 'clearing-house', 'had', 'only', 'recently', 'been', 'thought', 'of', 'in', 'New', 'York', ',', 'and', 'had', 'not', 'yet', 'been', 'introduced', 'in', 'Philadelphia', '.', 'Instead', 'of', 'a', 'clearing-house', 'service', ',', 'messengers', 'ran', 'daily', 'between']"
14855,Philadelphia,39.95233,-75.16379,"['the', 'clearing-house', 'had', 'only', 'recently', 'been', 'thought', 'of', 'in', 'New', 'York', ',', 'and', 'had', 'not', 'yet', 'been', 'introduced', 'in', 'Philadelphia', '.', 'Instead', 'of', 'a', 'clearing-house', 'service', ',', 'messengers', 'ran', 'daily', 'between', 'banks', 'and', 'brokerage', 'firms', ',', 'balancing', 'accounts', 'on', 'pass-books']"
